id,timezone_offset,type,unit,timestamp,start,end,value
,-28800,,m,2023-11-11 08:00:00+00:00,2023-11-11 08:00:00+00:00,2023-11-12 08:00:00+00:00,1596.0
,-28800,,m,2023-11-12 08:00:00+00:00,2023-11-12 08:00:00+00:00,2023-11-13 08:00:00+00:00,16760.0
,-28800,,m,2023-11-13 08:00:00+00:00,2023-11-13 08:00:00+00:00,2023-11-14 08:00:00+00:00,14742.0
,-28800,,m,2023-11-14 08:00:00+00:00,2023-11-14 08:00:00+00:00,2023-11-15 08:00:00+00:00,4353.0
,-28800,,m,2023-11-15 08:00:00+00:00,2023-11-15 08:00:00+00:00,2023-11-16 08:00:00+00:00,6911.0
,-28800,,m,2023-11-16 08:00:00+00:00,2023-11-16 08:00:00+00:00,2023-11-17 08:00:00+00:00,4866.0
,-28800,,m,2023-11-17 08:00:00+00:00,2023-11-17 08:00:00+00:00,2023-11-17 23:59:59+00:00,2171.0
,-28800,,m,2023-11-13 14:54:00+00:00,2023-11-13 14:54:00+00:00,2023-11-13 14:55:00+00:00,3.5200000274926424
,-28800,,m,2023-11-13 14:58:00+00:00,2023-11-13 14:58:00+00:00,2023-11-13 14:59:00+00:00,11.250000447034836
,-28800,,m,2023-11-13 14:59:00+00:00,2023-11-13 14:59:00+00:00,2023-11-13 15:00:00+00:00,21.090000867843628
,-28800,,m,2023-11-13 15:00:00+00:00,2023-11-13 15:00:00+00:00,2023-11-13 15:01:00+00:00,16.170000657439232
,-28800,,m,2023-11-13 15:01:00+00:00,2023-11-13 15:01:00+00:00,2023-11-13 15:02:00+00:00,33.73999893665314
,-28800,,m,2023-11-13 15:03:00+00:00,2023-11-13 15:03:00+00:00,2023-11-13 15:04:00+00:00,4.220000002533197
,-28800,,m,2023-11-13 15:07:00+00:00,2023-11-13 15:07:00+00:00,2023-11-13 15:08:00+00:00,10.54999977350235
,-28800,,m,2023-11-13 15:08:00+00:00,2023-11-13 15:08:00+00:00,2023-11-13 15:09:00+00:00,2.1100000012665987
,-28800,,m,2023-11-13 16:11:00+00:00,2023-11-13 16:11:00+00:00,2023-11-13 16:12:00+00:00,8.440000005066395
,-28800,,m,2023-11-13 16:25:00+00:00,2023-11-13 16:25:00+00:00,2023-11-13 16:26:00+00:00,30.92999942600727
,-28800,,m,2023-11-13 16:33:00+00:00,2023-11-13 16:33:00+00:00,2023-11-13 16:34:00+00:00,24.609999731183052
,-28800,,m,2023-11-13 16:39:00+00:00,2023-11-13 16:39:00+00:00,2023-11-13 16:40:00+00:00,26.009999215602875
,-28800,,m,2023-11-17 15:49:00+00:00,2023-11-17 15:49:00+00:00,2023-11-17 15:50:00+00:00,16.170000657439232
,-28800,,m,2023-11-17 16:04:00+00:00,2023-11-17 16:04:00+00:00,2023-11-17 16:05:00+00:00,7.73000018671155
,-28800,,m,2023-11-17 16:05:00+00:00,2023-11-17 16:05:00+00:00,2023-11-17 16:06:00+00:00,23.19999970495701
,-28800,,m,2023-11-17 16:17:00+00:00,2023-11-17 16:17:00+00:00,2023-11-17 16:18:00+00:00,18.279999494552612
